,Content ID,reaction_Type,Datetime,category,content_type,sentiment,scores
398,a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,09-06-2021,public speaking,video,negative,0
404,a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,26-12-2020,public speaking,video,negative,0
405,a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,15-06-2021,public speaking,video,negative,0
412,9b3a6d30-48e8-476c-82be-9031524bd04d,disgust,21-11-2020,food,video,negative,0
423,9b3a6d30-48e8-476c-82be-9031524bd04d,disgust,01-01-2021,food,video,negative,0
441,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,10-04-2021,tennis,video,negative,0
444,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,14-12-2020,tennis,video,negative,0
470,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,06-10-2020,tennis,video,negative,0
479,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,27-08-2020,tennis,video,negative,0
489,baa2db00-81ba-4c34-b17d-dd950bfa133b,disgust,13-09-2020,soccer,GIF,negative,0
490,baa2db00-81ba-4c34-b17d-dd950bfa133b,disgust,19-08-2020,soccer,GIF,negative,0
512,baa2db00-81ba-4c34-b17d-dd950bfa133b,disgust,09-03-2021,soccer,GIF,negative,0
518,f98dde71-ce1d-4f6c-bb05-ae05779d2207,disgust,12-12-2020,soccer,GIF,negative,0
522,f98dde71-ce1d-4f6c-bb05-ae05779d2207,disgust,30-03-2021,soccer,GIF,negative,0
533,f98dde71-ce1d-4f6c-bb05-ae05779d2207,disgust,22-10-2020,soccer,GIF,negative,0
565,388bd9db-9d10-4f47-87c4-6db46e83bc95,disgust,31-03-2021,education,video,negative,0
607,78d0075f-895c-4a15-a35c-a921e2bb2cea,disgust,07-12-2020,studying,photo,negative,0
613,78d0075f-895c-4a15-a35c-a921e2bb2cea,disgust,07-04-2021,studying,photo,negative,0
614,78d0075f-895c-4a15-a35c-a921e2bb2cea,disgust,06-07-2020,studying,photo,negative,0
634,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,disgust,11-09-2020,travel,photo,negative,0
635,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,disgust,26-07-2020,travel,photo,negative,0
686,809b41e3-7a6f-4d80-84bf-f8d7b0e2d0e1,disgust,11-05-2021,dogs,audio,negative,0
722,34a3747a-0b77-42f6-ae19-87c38b94b674,disgust,28-04-2021,science,GIF,negative,0
723,34a3747a-0b77-42f6-ae19-87c38b94b674,disgust,05-08-2020,science,GIF,negative,0
742,2920dccb-e06f-49fc-8049-b6d4164dfe84,disgust,21-07-2020,veganism,GIF,negative,0
773,2920dccb-e06f-49fc-8049-b6d4164dfe84,disgust,21-06-2020,veganism,GIF,negative,0
800,f4e3840e-bb71-40c2-afc5-9408d842646d,disgust,08-03-2021,healthy eating,photo,negative,0
817,a2ff9bf2-1fa6-4001-9566-f597f8e754ef,disgust,21-02-2021,food,video,negative,0
834,a2ff9bf2-1fa6-4001-9566-f597f8e754ef,disgust,04-12-2020,food,video,negative,0
838,74718bbf-e5a3-442f-8ca2-4a3428757fc1,disgust,22-12-2020,dogs,video,negative,0
858,74718bbf-e5a3-442f-8ca2-4a3428757fc1,disgust,08-07-2020,dogs,video,negative,0
870,74718bbf-e5a3-442f-8ca2-4a3428757fc1,disgust,22-10-2020,dogs,video,negative,0
876,02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,disgust,17-01-2021,cooking,audio,negative,0
877,02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,disgust,23-06-2020,cooking,video,negative,0
939,eec5e521-4c28-4e8a-93a9-d544803fad7e,disgust,10-10-2020,food,audio,negative,0
963,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,disgust,01-08-2020,technology,photo,negative,0
965,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,disgust,06-10-2020,technology,photo,negative,0
979,457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,30-06-2020,healthy eating,GIF,negative,0
986,457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,16-01-2021,healthy eating,GIF,negative,0
987,457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,21-05-2021,healthy eating,GIF,negative,0
995,457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,01-10-2020,healthy eating,GIF,negative,0
1014,457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,07-07-2020,healthy eating,GIF,negative,0
1033,4fa14453-7b29-4302-b51f-9aa23b472c1b,disgust,08-09-2020,animals,audio,negative,0
1056,ab4c4756-1c50-4136-bad9-3216e01ffac2,disgust,24-04-2021,fitness,audio,negative,0
1064,ab4c4756-1c50-4136-bad9-3216e01ffac2,disgust,18-03-2021,fitness,audio,negative,0
1089,4478d98e-43e8-4dc0-884d-c1115aa8b970,disgust,05-07-2020,animals,audio,negative,0
1106,34f73132-fff6-4f01-a5ec-4b4b66461fc7,disgust,12-11-2020,fitness,photo,negative,0
1111,34f73132-fff6-4f01-a5ec-4b4b66461fc7,disgust,21-09-2020,fitness,photo,negative,0
1113,34f73132-fff6-4f01-a5ec-4b4b66461fc7,disgust,18-04-2021,fitness,photo,negative,0
1129,34f73132-fff6-4f01-a5ec-4b4b66461fc7,disgust,27-01-2021,fitness,photo,negative,0
1142,bfa4e11c-9d72-49b9-bd43-49d95c2e5181,disgust,06-12-2020,veganism,photo,negative,0
1173,220d9dc1-f8a5-422d-b200-3819f3b89b2b,disgust,26-06-2020,dogs,video,negative,0
1174,220d9dc1-f8a5-422d-b200-3819f3b89b2b,disgust,18-05-2021,dogs,video,negative,0
1184,220d9dc1-f8a5-422d-b200-3819f3b89b2b,disgust,22-02-2021,dogs,video,negative,0
1206,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,disgust,01-09-2020,healthy eating,GIF,negative,0
1219,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,disgust,27-10-2020,healthy eating,GIF,negative,0
1221,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,disgust,25-03-2021,healthy eating,GIF,negative,0
1254,18b4da8a-5f22-4dbe-b2af-c9013581cdd9,disgust,07-02-2021,studying,GIF,negative,0
1281,14ed7f7b-2c96-4458-8a39-606c25c14180,disgust,24-02-2021,tennis,video,negative,0
1289,c01fa154-5348-4040-9d20-0bbf01f6349b,disgust,24-11-2020,tennis,GIF,negative,0
1294,c01fa154-5348-4040-9d20-0bbf01f6349b,disgust,22-01-2021,tennis,GIF,negative,0
1297,c01fa154-5348-4040-9d20-0bbf01f6349b,disgust,28-03-2021,tennis,GIF,negative,0
1340,50c9237a-541c-4f10-a2be-7cbe076b2012,disgust,03-09-2020,travel,GIF,negative,0
1346,50c9237a-541c-4f10-a2be-7cbe076b2012,disgust,10-11-2020,travel,GIF,negative,0
1348,50c9237a-541c-4f10-a2be-7cbe076b2012,disgust,25-01-2021,travel,GIF,negative,0
1367,50c9237a-541c-4f10-a2be-7cbe076b2012,disgust,26-06-2020,travel,GIF,negative,0
1373,50c9237a-541c-4f10-a2be-7cbe076b2012,disgust,20-01-2021,travel,GIF,negative,0
1394,5ecd7f9d-4184-4836-b1c5-f03e131ba0a7,disgust,24-10-2020,science,video,negative,0
1398,5ecd7f9d-4184-4836-b1c5-f03e131ba0a7,disgust,07-08-2020,science,video,negative,0
1410,5ecd7f9d-4184-4836-b1c5-f03e131ba0a7,disgust,16-01-2021,science,video,negative,0
1416,e442899c-d2d6-4392-be2d-a0b916ae47fb,disgust,21-09-2020,technology,video,negative,0
1420,e442899c-d2d6-4392-be2d-a0b916ae47fb,disgust,04-02-2021,technology,video,negative,0
1429,e442899c-d2d6-4392-be2d-a0b916ae47fb,disgust,26-05-2021,technology,video,negative,0
1444,daab7b1a-fc8d-473e-bbf3-b29f4185ae56,disgust,20-12-2020,science,video,negative,0
1446,daab7b1a-fc8d-473e-bbf3-b29f4185ae56,disgust,03-06-2021,science,video,negative,0
1481,82145a60-013e-4d96-81a5-399af8618158,disgust,03-02-2021,food,audio,negative,0
1489,82145a60-013e-4d96-81a5-399af8618158,disgust,22-07-2020,food,audio,negative,0
1504,d852b946-01e1-44fe-abd7-26198660cbdb,disgust,10-09-2020,food,GIF,negative,0
1527,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,disgust,08-02-2021,healthy eating,GIF,negative,0
1537,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,disgust,23-04-2021,healthy eating,GIF,negative,0
1570,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,disgust,15-07-2020,culture,video,negative,0
1576,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,disgust,12-02-2021,culture,video,negative,0
1587,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,disgust,25-06-2020,culture,video,negative,0
1606,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,disgust,17-05-2021,soccer,video,negative,0
1626,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,disgust,29-04-2021,soccer,GIF,negative,0
1640,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,disgust,15-12-2020,soccer,GIF,negative,0
1673,026973ef-4b73-4901-9160-bc9e04516057,disgust,27-12-2020,culture,audio,negative,0
1681,026973ef-4b73-4901-9160-bc9e04516057,disgust,20-10-2020,culture,audio,negative,0
1690,f08bdab2-b888-484e-8fd9-919e6ed86c12,disgust,25-03-2021,education,audio,negative,0
1737,258bb775-3c35-4eec-90f3-8b75a52e466a,disgust,26-11-2020,education,GIF,negative,0
1746,258bb775-3c35-4eec-90f3-8b75a52e466a,disgust,07-06-2021,education,photo,negative,0
1790,8d32243c-2dd1-4128-bde1-d643207e582c,disgust,03-12-2020,studying,photo,negative,0
1797,8d32243c-2dd1-4128-bde1-d643207e582c,disgust,13-04-2021,studying,photo,negative,0
1827,8d32243c-2dd1-4128-bde1-d643207e582c,disgust,24-06-2020,studying,photo,negative,0
1829,e2c433d2-096e-484e-8c69-28f0bb69f3b7,disgust,24-01-2021,science,photo,negative,0
1843,e2c433d2-096e-484e-8c69-28f0bb69f3b7,disgust,25-11-2020,science,audio,negative,0
1854,e2c433d2-096e-484e-8c69-28f0bb69f3b7,disgust,26-01-2021,science,audio,negative,0
1908,409aa11d-5af3-4a70-9da1-482857f5835e,disgust,10-03-2021,Fitness,GIF,negative,0
1913,409aa11d-5af3-4a70-9da1-482857f5835e,disgust,16-06-2021,Fitness,GIF,negative,0
1933,409aa11d-5af3-4a70-9da1-482857f5835e,disgust,29-01-2021,Fitness,GIF,negative,0
1965,eaddee3e-3a23-47cd-9785-ab7f2120a293,disgust,26-12-2020,science,video,negative,0
1974,eaddee3e-3a23-47cd-9785-ab7f2120a293,disgust,02-04-2021,science,video,negative,0
1996,9ef39aa2-60f9-4e4b-b666-c6cb97015503,disgust,16-01-2021,travel,GIF,negative,0
2040,841403fd-321b-4118-90b3-cc0075d64047,disgust,27-09-2020,studying,GIF,negative,0
2058,3724de8a-ec2f-4021-a3f1-605d551da9d0,disgust,11-03-2021,culture,video,negative,0
2071,3724de8a-ec2f-4021-a3f1-605d551da9d0,disgust,23-06-2020,culture,video,negative,0
2130,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,disgust,29-12-2020,science,photo,negative,0
2140,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,disgust,27-04-2021,science,photo,negative,0
2149,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,disgust,20-11-2020,science,photo,negative,0
2155,0491183b-be25-4108-b667-8c30d3cdbf50,disgust,11-07-2020,veganism,audio,negative,0
2205,359b93ea-446f-4202-8801-db238de5de4d,disgust,26-02-2021,food,photo,negative,0
2208,0adb9a94-210a-4e84-bca1-13db9452ff0e,disgust,09-06-2021,healthy eating,video,negative,0
2213,0adb9a94-210a-4e84-bca1-13db9452ff0e,disgust,08-04-2021,healthy eating,video,negative,0
2223,0adb9a94-210a-4e84-bca1-13db9452ff0e,disgust,31-08-2020,healthy eating,video,negative,0
2263,86346263-02db-4020-a216-9e54f502f643,disgust,19-09-2020,travel,GIF,negative,0
2295,86346263-02db-4020-a216-9e54f502f643,disgust,04-11-2020,travel,GIF,negative,0
2312,3529c44b-d0f4-4bd2-b6eb-be97d2f7623f,disgust,28-09-2020,studying,photo,negative,0
2399,9d94f180-947c-40f5-aa05-f1958759b7fc,disgust,13-03-2021,science,video,negative,0
2418,497da46d-d5d5-45b0-827a-f2b75d7bf4c2,disgust,06-05-2021,culture,photo,negative,0
2424,497da46d-d5d5-45b0-827a-f2b75d7bf4c2,disgust,18-03-2021,culture,photo,negative,0
2447,da527dd0-4b7d-40a2-9fc6-89ef7c91fd87,disgust,31-10-2020,culture,GIF,negative,0
2456,da527dd0-4b7d-40a2-9fc6-89ef7c91fd87,disgust,26-02-2021,culture,GIF,negative,0
2460,da527dd0-4b7d-40a2-9fc6-89ef7c91fd87,disgust,22-01-2021,culture,GIF,negative,0
2485,fada6910-2cc5-4600-808c-1e6066f795a6,disgust,26-08-2020,technology,GIF,negative,0
2498,be85274a-28f1-4c6d-9ea1-7b20d1e0c66f,disgust,27-02-2021,culture,photo,negative,0
2499,be85274a-28f1-4c6d-9ea1-7b20d1e0c66f,disgust,27-06-2020,culture,photo,negative,0
2527,1de2f0f9-61ab-43fb-9180-6870824c63c0,disgust,10-11-2020,science,GIF,negative,0
2532,1de2f0f9-61ab-43fb-9180-6870824c63c0,disgust,07-07-2020,science,GIF,negative,0
2551,c2d6e707-f00e-4fa4-a193-eb36272f58df,disgust,15-04-2021,veganism,GIF,negative,0
2591,af7971aa-5fd5-41d3-b6c3-583704a705a2,disgust,03-01-2021,healthy eating,video,negative,0
2602,af7971aa-5fd5-41d3-b6c3-583704a705a2,disgust,20-04-2021,healthy eating,video,negative,0
2641,5d8dbd6f-cc78-4f7a-a65c-cd9dde481dd0,disgust,24-11-2020,healthy eating,video,negative,0
2645,5d8dbd6f-cc78-4f7a-a65c-cd9dde481dd0,disgust,21-12-2020,healthy eating,video,negative,0
2660,5d8dbd6f-cc78-4f7a-a65c-cd9dde481dd0,disgust,04-05-2021,healthy eating,video,negative,0
2687,cd568dd1-70cf-45d6-b495-10eebff8c920,disgust,04-11-2020,dogs,photo,negative,0
2697,cd568dd1-70cf-45d6-b495-10eebff8c920,disgust,30-10-2020,dogs,photo,negative,0
2703,cd568dd1-70cf-45d6-b495-10eebff8c920,disgust,11-11-2020,dogs,photo,negative,0
2705,cd568dd1-70cf-45d6-b495-10eebff8c920,disgust,15-02-2021,dogs,photo,negative,0
2730,72822fb8-8a40-4cf1-a86a-42140b3bf9f3,disgust,12-04-2021,travel,photo,negative,0
2734,72822fb8-8a40-4cf1-a86a-42140b3bf9f3,disgust,01-01-2021,travel,photo,negative,0
2737,72822fb8-8a40-4cf1-a86a-42140b3bf9f3,disgust,13-12-2020,travel,photo,negative,0
2749,72822fb8-8a40-4cf1-a86a-42140b3bf9f3,disgust,13-11-2020,travel,photo,negative,0
2779,ef99fd68-74fb-4c72-bc70-742ebca14499,disgust,25-05-2021,soccer,video,negative,0
2800,d147ab3c-4097-4eec-b4dc-480e4ece801b,disgust,25-05-2021,culture,audio,negative,0
2805,62681a6c-fe82-4186-ba7d-0805ae5b95ed,disgust,10-02-2021,Veganism,audio,negative,0
2848,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,23-10-2020,cooking,GIF,negative,0
2849,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,03-04-2021,cooking,GIF,negative,0
2854,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,23-12-2020,cooking,GIF,negative,0
2860,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,16-04-2021,cooking,GIF,negative,0
2863,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,08-07-2020,cooking,GIF,negative,0
2864,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,13-11-2020,cooking,GIF,negative,0
2866,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,14-09-2020,cooking,GIF,negative,0
2880,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,14-10-2020,cooking,GIF,negative,0
2882,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,01-11-2020,cooking,GIF,negative,0
2887,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,20-05-2021,cooking,GIF,negative,0
2900,65545cfb-59bb-4dc1-a38b-82f268210da2,disgust,06-07-2020,technology,audio,negative,0
2917,65545cfb-59bb-4dc1-a38b-82f268210da2,disgust,06-09-2020,technology,audio,negative,0
2930,65545cfb-59bb-4dc1-a38b-82f268210da2,disgust,15-10-2020,technology,audio,negative,0
2958,433607b3-eeb4-48b8-9263-9805c1b89d55,disgust,20-01-2021,education,video,negative,0
2959,433607b3-eeb4-48b8-9263-9805c1b89d55,disgust,14-04-2021,education,video,negative,0
2964,1000371f-7758-4c44-a1bc-41fd836b0bcb,disgust,23-01-2021,studying,video,negative,0
2995,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,disgust,06-07-2020,studying,video,negative,0
3032,8e3896e3-2f84-4b47-9365-fb562c9ed730,disgust,24-09-2020,public speaking,video,negative,0
3039,8e3896e3-2f84-4b47-9365-fb562c9ed730,disgust,01-09-2020,public speaking,video,negative,0
3041,8e3896e3-2f84-4b47-9365-fb562c9ed730,disgust,02-02-2021,public speaking,video,negative,0
3073,de9796a6-d19d-4c41-a965-7aa4dcc69fee,disgust,06-05-2021,technology,audio,negative,0
3074,de9796a6-d19d-4c41-a965-7aa4dcc69fee,disgust,05-04-2021,technology,audio,negative,0
3096,e4466189-0b96-4cc4-9d7d-d0f27b982548,disgust,03-02-2021,education,audio,negative,0
3099,e4466189-0b96-4cc4-9d7d-d0f27b982548,disgust,24-07-2020,education,GIF,negative,0
3127,391a9aa4-c04a-431e-8366-712d92267c2b,disgust,24-05-2021,public speaking,video,negative,0
3155,391a9aa4-c04a-431e-8366-712d92267c2b,disgust,29-04-2021,public speaking,video,negative,0
3176,36d36f19-7a10-4d7d-a3ab-a3f2cbbfcf4a,disgust,25-12-2020,food,photo,negative,0
3210,36d36f19-7a10-4d7d-a3ab-a3f2cbbfcf4a,disgust,12-12-2020,food,photo,negative,0
3214,36d36f19-7a10-4d7d-a3ab-a3f2cbbfcf4a,disgust,15-07-2020,food,photo,negative,0
3238,c7066a17-2e12-49d2-bb9e-c8967051f490,disgust,16-02-2021,public speaking,GIF,negative,0
3244,c7066a17-2e12-49d2-bb9e-c8967051f490,disgust,03-09-2020,public speaking,GIF,negative,0
3260,f01ec49c-3179-43bb-b127-2b1a73f34b06,disgust,21-01-2021,animals,photo,negative,0
3267,f01ec49c-3179-43bb-b127-2b1a73f34b06,disgust,25-02-2021,animals,photo,negative,0
3289,c6cbd704-9d4a-4ace-b61e-e5df74ee83af,disgust,05-04-2021,education,photo,negative,0
3296,eb6fc324-f85b-4bfb-b712-0a3eceb0b9d7,disgust,21-08-2020,soccer,GIF,negative,0
3301,b6c24086-becf-4615-801e-c3c298a8d4e2,disgust,04-11-2020,travel,photo,negative,0
3311,b6c24086-becf-4615-801e-c3c298a8d4e2,disgust,23-05-2021,travel,photo,negative,0
3315,b6c24086-becf-4615-801e-c3c298a8d4e2,disgust,20-06-2020,travel,photo,negative,0
3331,b6c24086-becf-4615-801e-c3c298a8d4e2,disgust,20-07-2020,travel,photo,negative,0
3336,1beeffff-f261-435f-a109-6fafe46669d4,disgust,24-01-2021,public speaking,photo,negative,0
3350,1beeffff-f261-435f-a109-6fafe46669d4,disgust,12-03-2021,public speaking,photo,negative,0
3354,1beeffff-f261-435f-a109-6fafe46669d4,disgust,04-05-2021,public speaking,photo,negative,0
3366,1beeffff-f261-435f-a109-6fafe46669d4,disgust,26-11-2020,public speaking,photo,negative,0
3386,61e6650c-5068-4575-9aee-4217ef3dbdb1,disgust,04-09-2020,tennis,GIF,negative,0
3409,3a7f83a0-b9f9-44c1-a15d-656c4095e732,disgust,15-10-2020,soccer,GIF,negative,0
3415,2b6921de-e7f2-4e30-8feb-36bd41becaf0,disgust,06-05-2021,travel,audio,negative,0
3452,b56a9e24-d0f2-4599-b893-c2889a15e1d6,disgust,04-07-2020,veganism,video,negative,0
3474,b56a9e24-d0f2-4599-b893-c2889a15e1d6,disgust,21-07-2020,veganism,video,negative,0
3485,d706b190-216c-4103-9107-fb7304766d68,disgust,02-10-2020,cooking,video,negative,0
3496,d706b190-216c-4103-9107-fb7304766d68,disgust,23-03-2021,cooking,video,negative,0
3504,d706b190-216c-4103-9107-fb7304766d68,disgust,23-04-2021,cooking,video,negative,0
3520,d706b190-216c-4103-9107-fb7304766d68,disgust,12-06-2021,cooking,video,negative,0
3525,d706b190-216c-4103-9107-fb7304766d68,disgust,09-01-2021,cooking,video,negative,0
3540,61b45c79-c23b-4bbd-a4fe-0bb3611486c7,disgust,08-01-2021,tennis,audio,negative,0
3551,61b45c79-c23b-4bbd-a4fe-0bb3611486c7,disgust,13-04-2021,tennis,audio,negative,0
3585,2c511a63-5eb5-422f-8483-c9fcf9a29b55,disgust,07-09-2020,technology,GIF,negative,0
3630,edc4a60a-b5ba-4178-b99e-9d34ed92599c,disgust,08-07-2020,technology,audio,negative,0
3651,2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,disgust,26-12-2020,animals,photo,negative,0
3662,2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,disgust,14-11-2020,animals,photo,negative,0
3673,2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,disgust,25-05-2021,animals,photo,negative,0
3680,e51b00b8-49d4-4909-9f25-8e9a06e28728,disgust,28-04-2021,soccer,video,negative,0
3682,e51b00b8-49d4-4909-9f25-8e9a06e28728,disgust,03-09-2020,soccer,video,negative,0
3695,509a5fb0-9bb2-4809-9f90-18ae007acc94,disgust,16-10-2020,dogs,video,negative,0
3713,509a5fb0-9bb2-4809-9f90-18ae007acc94,disgust,10-05-2021,dogs,video,negative,0
3716,509a5fb0-9bb2-4809-9f90-18ae007acc94,disgust,13-01-2021,dogs,video,negative,0
3727,f1038e6c-5292-4e20-a866-675e1637d6b5,disgust,20-06-2020,soccer,GIF,negative,0
3732,f1038e6c-5292-4e20-a866-675e1637d6b5,disgust,20-01-2021,soccer,GIF,negative,0
3773,08cc29f3-a22d-4652-8f27-ff9e0a826289,disgust,01-11-2020,technology,photo,negative,0
3804,a784c1dd-e2ab-408d-a0c3-226a51d420e1,disgust,16-09-2020,technology,audio,negative,0
3827,3a106d1f-3942-49d4-9358-417f33d760c6,disgust,05-05-2021,Fitness,photo,negative,0
3856,5bb364a6-8646-4cdb-b1cf-09f4125718d8,disgust,12-07-2020,soccer,audio,negative,0
3859,5bb364a6-8646-4cdb-b1cf-09f4125718d8,disgust,12-12-2020,soccer,audio,negative,0
3864,5bb364a6-8646-4cdb-b1cf-09f4125718d8,disgust,07-03-2021,soccer,audio,negative,0
3961,de95cdb1-a85a-40de-8467-892e2d1481af,disgust,25-01-2021,education,video,negative,0
3970,6199f5ca-cc02-410d-a408-e034946de162,disgust,09-04-2021,animals,audio,negative,0
3980,6199f5ca-cc02-410d-a408-e034946de162,disgust,17-11-2020,animals,video,negative,0
3988,6199f5ca-cc02-410d-a408-e034946de162,disgust,04-08-2020,animals,video,negative,0
3989,6199f5ca-cc02-410d-a408-e034946de162,disgust,22-07-2020,animals,video,negative,0
3995,8490c29c-177f-4c21-9d37-d509f9287f30,disgust,26-05-2021,tennis,GIF,negative,0
4029,bf8e2e7a-7a90-47f8-8dd6-01f8c6aa32ed,disgust,20-04-2021,science,video,negative,0
4057,5651450a-d330-46e6-bac9-c7c7e7defaf2,disgust,07-07-2020,animals,photo,negative,0
4058,5651450a-d330-46e6-bac9-c7c7e7defaf2,disgust,13-02-2021,animals,photo,negative,0
4059,5651450a-d330-46e6-bac9-c7c7e7defaf2,disgust,03-04-2021,animals,photo,negative,0
4061,5651450a-d330-46e6-bac9-c7c7e7defaf2,disgust,28-09-2020,animals,photo,negative,0
4073,5651450a-d330-46e6-bac9-c7c7e7defaf2,disgust,22-09-2020,animals,photo,negative,0
4080,7c2e209e-acea-4246-a32d-636e2f2cc2c1,disgust,23-03-2021,dogs,video,negative,0
4105,2eb7feec-26a4-4949-8470-3e66c16536e9,disgust,26-08-2020,tennis,video,negative,0
4154,f783f128-6f66-4ef3-a190-5afc29d17012,disgust,02-05-2021,tennis,GIF,negative,0
4184,7bb8c7ec-8d65-43e8-a9fb-ac01936b18cc,disgust,24-02-2021,cooking,video,negative,0
4192,7bb8c7ec-8d65-43e8-a9fb-ac01936b18cc,disgust,04-07-2020,cooking,video,negative,0
4211,6e418568-a2b9-4d08-b241-06362c96a7f1,disgust,02-02-2021,food,video,negative,0
4221,6e418568-a2b9-4d08-b241-06362c96a7f1,disgust,16-04-2021,food,video,negative,0
4235,93c0f4f6-8c1e-453e-8df0-3015b1e76376,disgust,02-12-2020,technology,video,negative,0
4236,93c0f4f6-8c1e-453e-8df0-3015b1e76376,disgust,13-10-2020,technology,video,negative,0
4276,2893a837-3157-4bbd-918f-adc93b60480a,disgust,15-02-2021,healthy eating,photo,negative,0
4316,c6f6e0f3-9fae-4bf9-abb3-cd7248a51061,disgust,02-05-2021,culture,audio,negative,0
4324,c6f6e0f3-9fae-4bf9-abb3-cd7248a51061,disgust,08-10-2020,culture,audio,negative,0
